stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
16,,Sagrado Corazón,,18.437642,-66.05968,,,,,,
15,,Hato Rey,,18.430277,-66.059985,,,,,,
14,,Roosevelt,,18.424528,-66.058779,,,,,,
13,,Dómenech,,18.416346,-66.056338,,,,,,
12,,Piñero,,18.411693,-66.055225,,,,,,
11,,Universidad,,18.406024,-66.05193,,,,,,
10,,Río Piedras,,18.400251,-66.052413,,,,,,
9,,Cupey,,18.392124,-66.063209,,,,,,
8,,Centro Médico,,18.393167,-66.075734,,,,,,
7,,San Francisco,,18.392307,-66.084036,,,,,,
6,,Las Lomas,,18.392398,-66.095176,,,,,,
5,,Martínez Nadal,,18.392811,-66.102911,,,,,,
4,,Torrimar,,18.393597,-66.120175,,,,,,
3,,Jardines,,18.395734,-66.128919,,,,,,
2,,Deportivo,,18.395922,-66.151249,,,,,,
1,,Bayamón,,18.40095,-66.153815,,,,,,
